external_source_group,external_feature_name,excel_dataset_id,target_name,best_precursor_score,best_reverse_lag_score,precursor_minus_reverse_score
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,count,0.08164732039379648,0.07028731056489469,0.011360009828901785
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,m3_flag,0.09307305009559293,0.08255650931481713,0.010516540780775796
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,m4_flag,0.08863493903920774,0.08855379145813785,8.114758106989028e-05
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,m5_flag,0.055068607554904635,0.041131257328564166,0.013937350226340468
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,m6_flag,0.06712863342066214,0.01816182539334204,0.0489668080273201
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,max_magnitude,0.10063402205502285,0.06477918175751185,0.035854840297511
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,energy,0.036327929649813295,0.04633888831608233,-0.010010958666269033
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,mean_depth,0.09494203489801882,0.09547075834954115,-0.0005287234515223282
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,shallow_count,0.06432102984878126,0.0483232332568255,0.015997796591955757
kp_dst,kp_mean_daily,気象庁_地震月報_カタログ編,deep_count,0.08333572671900664,0.05936497961919141,0.023970747099815233
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,count,0.09511240480562667,0.05320216572785252,0.04191023907777416
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,m3_flag,0.08072294003473313,0.07525551815552046,0.005467421879212661
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,m4_flag,0.07639839092710819,0.07317817057316651,0.0032202203539416774
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,m5_flag,0.049832366340922495,0.02637244839364326,0.023459917947279234
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,m6_flag,0.05714731487511247,0.02178822550964975,0.035359089365462726
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,max_magnitude,0.09033536784902796,0.060342999698293355,0.029992368150734604
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,energy,0.038754453205633144,0.030652890810952703,0.00810156239468044
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,mean_depth,0.0887062580751213,0.09071377306159319,-0.002007514986471892
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,shallow_count,0.07864430549732361,0.042017512509690075,0.036626792987633536
kp_dst,kp_max_daily,気象庁_地震月報_カタログ編,deep_count,0.07264360057188436,0.06132774938683483,0.011315851185049533
kp_dst,kp_min_daily,気象庁_地震月報_カタログ編,count,0.07486352071050896,0.07031575415235645,0.004547766558152505
kp_dst,kp_min_daily,気象庁_地震月報_カタログ編,m3_flag,0.07727566457450533,0.06598203412370132,0.011293630450804004
kp_dst,kp_min_daily,気象庁_地震月報_カタログ編,m4_flag,0.07375887451567006,0.06459229205941633,0.009166582456253736
kp_dst,kp_min_daily,気象庁_地震月報_カタログ編,m5_flag,0.04226272294836626,0.03810469030261256,0.0041580326457537065
kp_dst,kp_min_daily,気象庁_地震月報_カタログ編,m6_flag,0.07082469941386939,0.018936985208608488,0.0518877142052609
kp_dst,kp_min_daily,気象庁_地震月報_カタログ編,max_magnitude,0.0848230437638117,0.06205608309129641,0.022766960672515282
kp_dst,kp_min_daily,気象庁_地震月報_カタログ編,energy,0.06266237238299205,0.0577081009904299,0.004954271392562146
