external_source_group,external_feature_name,base_feature_name,feature_adjustment,excel_dataset_id,excel_dataset_name,excel_category,target_name,target_type,spatial_unit,region,lag,lag_direction,n_samples,model_type,correlation,spearman,partial_correlation,ols_coefficient,ols_p_value,logistic_coefficient,logistic_odds_ratio,AUC,average_precision,brier_score,poisson_coefficient,poisson_rate_ratio,poisson_p_value,negative_control_correlation,negative_control_auc,negative_control_pass,best_reverse_lag_score,precursor_minus_reverse_score,fdr_q_value,train_period,test_period,status,error_message,reject_reasons
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,max_magnitude,event_catalog,national,national,3D,external_precedes_target,1824,univariate_calendar_autocorrelation_adjusted,0.08095392810813001,0.09285754484574062,0.08095392810813001,0.14267433131596258,0.0005265201683153132,,,,,,,,,0.07280769001889761,,True,0.08554500875485888,0.017180099369510163,0.00509776767165025,2020-01-04..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,3D,external_precedes_target,1824,univariate_calendar_autocorrelation_adjusted,0.09708971195009061,0.1017511936914401,0.09708971195009061,0.7324097706584634,3.1280807751581956e-05,,,,,,,,,0.08301446799774094,,True,0.11823983500431465,-0.007258133112013496,0.0005096395338408718,2020-01-04..2023-06-30,2023-07-01..2024-12-31,ok,,fail_reverse_lag
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,shallow_count,event_catalog,national,national,3D,external_precedes_target,1824,univariate_calendar_autocorrelation_adjusted,0.06860152766173619,0.09148513289098956,0.06860152766173619,15.878801226968285,0.0033337183822449963,,,,,,0.11261790141731182,1.1192042048962192,,0.06592209620787642,,True,0.05359475459379237,0.015006773067943818,0.023333291632708208,2020-01-04..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,deep_count,event_catalog,national,national,3D,external_precedes_target,1824,univariate_calendar_autocorrelation_adjusted,0.0704253101968353,0.06232395003996439,0.0704253101968353,0.4314537456441211,0.0025818555073191768,,,,,,0.13203407904895081,1.1411472078161442,,0.031012080467821643,,True,0.0749550476001392,0.0093277376931368,0.018949908049845872,2020-01-04..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,count,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.07832854582527383,0.0859583576803332,0.07832854582527383,24.92664979769156,0.0008079226072793019,,,,,,0.1586448113955037,1.1719216195431426,,0.04190039156142504,,True,0.07676252204326282,0.007241413050786211,0.007183875073852463,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m3_flag,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.11620667877180886,0.12943991866404292,0.11620667877180886,0.03297939943389479,6.08123529800062e-07,0.033796144130232096,1.0343737220790319,0.6132075826249052,0.8374661130727687,0.27311111969203733,,,,0.08208111324552406,0.5655606166520095,True,0.10824105192879667,0.009812445378729787,1.590261684523168e-05,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m4_flag,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.06871769531580608,0.11523121273921223,0.06871769531580608,0.02895974816456788,0.0033148069629946085,0.029497545974869033,1.029936907977735,0.5848630362291265,0.7841529287009642,0.27542088832854933,,,,0.05504240876754223,0.5517895266413401,True,0.09485864508154809,0.009031795380017402,0.023221441149521498,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,max_magnitude,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.10048900399628533,0.11370896421012666,0.10048900399628533,0.17692181981032057,1.658955555821799e-05,,,,,,,,,0.06125257415456409,,True,0.08554500875485888,0.017180099369510163,0.00030090630028469867,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.11098170189230115,0.12174680182411135,0.11098170189230115,0.8365433555283048,1.922039075576771e-06,,,,,,,,,0.08229284796792632,,True,0.11823983500431465,-0.007258133112013496,4.479940702472173e-05,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,fail_reverse_lag
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,shallow_count,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.06361812408290551,0.07338820654698361,0.06361812408290551,14.720845199649848,0.006566668086378026,,,,,,0.09150890173477849,1.09582653140627,,0.040955731777211124,,True,0.05359475459379237,0.015006773067943818,0.040824682177846974,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,deep_count,event_catalog,national,national,7D,external_precedes_target,1820,univariate_calendar_autocorrelation_adjusted,0.084282785293276,0.0897950092670294,0.084282785293276,0.5158006672712938,0.00031037559263317544,,,,,,0.1463740700898925,1.157629141505304,,0.0589603898129981,,True,0.0749550476001392,0.0093277376931368,0.003313653008388003,2020-01-08..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m3_flag,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.11656002817211517,0.13335185854610618,0.11656002817211517,0.033079338863762305,5.903307873710064e-07,0.034611354355223556,1.035217297912838,0.6155490349356687,0.8359752715395025,0.2726800962373337,,,,0.07469643232526202,0.5642293646927315,True,0.10824105192879667,0.009812445378729787,1.5544617644286734e-05,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m4_flag,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.1038904404615655,0.11653924729822379,0.1038904404615655,0.043775992572639824,8.781028194283384e-06,0.04303771857145517,1.0439772714393039,0.6172084941959786,0.8000789628944603,0.26690948657681446,,,,0.05875593783556258,0.5503528443108919,True,0.09485864508154809,0.009031795380017402,0.00017179177362310004,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,
kp_dst,kp_rolling_mean_3d,kp_rolling_mean_3d,derived,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m5_flag,event_catalog,national,national,14D,external_precedes_target,1813,univariate_calendar_autocorrelation_adjusted,0.06629136370151413,0.045826714220547946,0.06629136370151413,0.042148543625415875,0.004694170633906078,0.02355209997106837,1.0238316409559782,0.5568513201598829,0.3433647466285515,0.2734170560769462,,,,-0.014202287320860875,0.5388588639306423,True,0.034014594075152484,0.03227676962636165,0.030967120682411475,2020-01-15..2023-06-30,2023-07-01..2024-12-31,ok,,
