kp_dst_feature_name,base_feature_name,feature_adjustment,excel_dataset_id,excel_dataset_name,excel_category,target_name,target_type,spatial_unit,region,lag,lag_direction,n_samples,model_type,correlation,spearman,partial_correlation,ols_coefficient,ols_p_value,logistic_coefficient,logistic_odds_ratio,AUC,average_precision,poisson_coefficient,poisson_rate_ratio,poisson_p_value,negative_control_correlation,negative_control_pass,train_period,test_period,status,error_message,fdr_q_value
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,count,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.04082316323353317,0.04931097625124506,0.04082316323353317,9.74285877695683,,,,,,0.07531152423312978,1.0782199902264693,,-0.03530415695439928,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m3_flag,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.06763420583902471,0.06842457406582354,0.06763420583902471,0.014204638398880575,,0.08586198199754189,1.0896559257919958,0.5749282943841465,0.8321499686308856,,,,-0.028678735131377472,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m4_flag,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.039535038502228,0.06085624580175335,0.039535038502228,0.01258948989476559,,0.0854619667202915,1.0892201339422423,0.5600186892770274,0.7852351065005341,,,,-0.03147922661738145,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m5_flag,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.027383932520080638,0.0026943038186895687,0.027383932520080638,0.013384840780170021,,0.03959885934671486,1.040393346407707,0.5186990368497315,0.33548015231443723,,,,0.013417959480382156,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m6_flag,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.01816182539334204,-0.005426107593590587,0.01816182539334204,0.006110674703966417,,0.0167406080076826,1.0168815171895556,0.5211271133375078,0.11759639238625602,,,,-0.009711092599433755,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,max_magnitude,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.0500254088107584,0.04580247422701049,0.0500254088107584,0.06609214967135414,,,,,,,,,-0.02807199545184101,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,energy,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.011592856901264404,0.0038354965139164726,0.011592856901264404,87400742.56141327,,,,,,,,,-0.02771376381880174,False,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.061198295251552653,0.059470035746222186,0.061198295251552653,0.34338218675449245,,,,,,,,,-0.01430274398842696,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,shallow_count,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.038751355062770894,0.044968341115880495,0.038751355062770894,6.756046420940812,,,,,,0.04422994465968601,1.0452226706290182,,-0.039432461036652024,False,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,deep_count,event_catalog,national,national,-30D,target_precedes_external,1797,calendar_autocorrelation_adjusted,0.04614001016710062,0.04883110336943786,0.04614001016710062,0.2145028612885969,,,,,,0.07892794648937546,1.0821263482588737,,0.02934117687480216,True,2020-01-01..2023-06-30,2023-07-01..2024-12-01,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,count,event_catalog,national,national,-14D,target_precedes_external,1813,calendar_autocorrelation_adjusted,0.04179300019573791,0.03635178797508162,0.04179300019573791,10.013920847667944,,,,,,0.08456317702911971,1.0882415939311494,,-0.036958365036493995,True,2020-01-01..2023-06-30,2023-07-01..2024-12-17,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m3_flag,event_catalog,national,national,-14D,target_precedes_external,1813,calendar_autocorrelation_adjusted,0.07444541330793061,0.0728668099558233,0.07444541330793061,0.015785041900851154,,0.09560022651937447,1.1003190976609316,0.5767356573953083,0.8288198904417076,,,,-0.04309391833368101,True,2020-01-01..2023-06-30,2023-07-01..2024-12-17,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m4_flag,event_catalog,national,national,-14D,target_precedes_external,1813,calendar_autocorrelation_adjusted,0.08855379145813785,0.0948500888476835,0.08855379145813785,0.02821774469373181,,0.13109552048263046,1.1400766767854358,0.5840495265841223,0.7926665025904222,,,,0.03546850643023226,True,2020-01-01..2023-06-30,2023-07-01..2024-12-17,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m5_flag,event_catalog,national,national,-14D,target_precedes_external,1813,calendar_autocorrelation_adjusted,0.041131257328564166,0.01637733063446452,0.041131257328564166,0.02000275768853757,,0.06236739774337378,1.064353313908721,0.5285723500081326,0.338219009142969,,,,0.04383344633361848,False,2020-01-01..2023-06-30,2023-07-01..2024-12-17,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,m6_flag,event_catalog,national,national,-14D,target_precedes_external,1813,calendar_autocorrelation_adjusted,0.016844570615818396,-0.01836153307522319,0.016844570615818396,0.005637395801333183,,0.018633802964613144,1.0188084956470893,0.5205734655920645,0.11614749879852368,,,,-0.012086923438024717,True,2020-01-01..2023-06-30,2023-07-01..2024-12-17,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,max_magnitude,event_catalog,national,national,-14D,target_precedes_external,1813,calendar_autocorrelation_adjusted,0.06017122401419532,0.059381274351770826,0.06017122401419532,0.07978273490751857,,,,,,,,,-0.04149860324432022,True,2020-01-01..2023-06-30,2023-07-01..2024-12-17,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,energy,event_catalog,national,national,-14D,target_precedes_external,1813,calendar_autocorrelation_adjusted,-0.027280339262167313,0.013990569692620075,-0.027280339262167313,-204494609.75878903,,,,,,,,,-0.03503650125838041,False,2020-01-01..2023-06-30,2023-07-01..2024-12-17,ok,,
kp_mean_daily,kp_mean_daily,raw,気象庁_地震月報_カタログ編,地震月報（カタログ編）,震源関連【過去の地震活動】,mean_depth,event_catalog,national,national,-14D,target_precedes_external,1813,calendar_autocorrelation_adjusted,0.06948296989766566,0.062192091719086115,0.06948296989766566,0.39246370607692993,,,,,,,,,-0.04785176254995277,True,2020-01-01..2023-06-30,2023-07-01..2024-12-17,ok,,
