excel_dataset_id,category,provider,name,description,url,data_type,data_items,public_status,format,access_notes,inferred_temporal_type,inferred_geo_type,usable_status,sheet_name,source_row
国土地理院_一等水準点検測成果集録,測地・地殻変動関連【水準測量】,国土地理院,一等水準点検測成果集録,国土地理院が行った水準測量の結果から得られた水準点の上下変動を図示し、観測年度ごとにとりまとめたものを公表しています。,http://vldb.gsi.go.jp/sokuchi/level/KENSOKUSYUROKU/,,,,,,unknown,unknown,probe_only,データ詳細,110
気象庁_地震防災対策強化地域判定会,測地・地殻変動関連【ひずみ】,気象庁,地震防災対策強化地域判定会,気象庁が開催している地震防災対策強化地域判定会の評価結果です。,http://www.jma.go.jp/jma/press/hantei.html,,,,,,time_series,polygon,usable,データ詳細,111
国土交通省_ナウファス_全国港湾海洋波浪情報網,測地・地殻変動関連【験潮】,国土交通省,ナウファス（全国港湾海洋波浪情報網）,ナウファスは国土交通省港湾局等が実施する日本沿岸の波浪情報網です。全国の波浪の定常観測結果を掲載しています。,http://www.mlit.go.jp/kowan/nowphas/,,,,,,time_series,station,usable,データ詳細,112
国土交通省_潮位情報リンク,測地・地殻変動関連【験潮】,国土交通省,潮位情報リンク,全国各地における最新の潮位の実況をグラフで表示しています。,http://www.jma.go.jp/jp/choi/bosai/choui_map.html,,,,,,time_series,station,usable,データ詳細,113
国土地理院_海岸昇降検知センター,測地・地殻変動関連【験潮】,国土地理院,海岸昇降検知センター,各機関がそれぞれの目的により設置している験潮場の験潮記録から地殻変動を検知し、地震予知研究をはじめとした地球科学の研究に役立てるため、それらの資料を統一した形で迅速に取りまとめて公表しています。,http://cais.gsi.go.jp/cmdc/centerindex.html,,,,,,time_series,station,usable,データ詳細,114
国土地理院_潮位データ,測地・地殻変動関連【験潮】,国土地理院,潮位データ,国土地理院が全国に整備した験潮場で観測した潮位について、30秒、毎時、日平均、月平均、年平均、満干潮位の6種類のデータを提供しています。,http://www.gsi.go.jp/kanshi/tide_furnish.html,,,,,,time_series,station,usable,データ詳細,115
気象庁_各年の潮汐,測地・地殻変動関連【験潮】,気象庁,各年の潮汐,気象庁が潮汐の観測を行っている検潮所等において実際に観測した、年の潮位（実測潮位）をまとめたものです。,https://www.data.jma.go.jp/kaiyou/db/tide/gaikyo/nenindex.php,,,,,,time_series,station,usable,データ詳細,116
海上保安庁_リアルタイム験潮データ,測地・地殻変動関連【験潮】,海上保安庁,リアルタイム験潮データ,海上保安庁所管の験潮所及び気象庁所管の験潮所から観測されたデータを5分間隔で表示しています。,https://www1.kaiho.mlit.go.jp/TIDE/gauge/,,,,,,time_series,station,usable,データ詳細,117
産業技術総合研究所_地震に関連する地下水観測データベース,測地・地殻変動関連【地下水】,産業技術総合研究所,地震に関連する地下水観測データベース,産業技術総合研究所地質調査総合センターが観測・解析を行っている50ヶ所あまりの観測点の地下水位、歪、水温、地震波形などの最新データおよび関連情報をご覧いただくことができます。 さらに、解析プログラムにてご自身のデータの解析を試すことも可能です。,https://gbank.gsj.jp/wellweb/GSJ/index.shtml,,,,,,waveform,station,probe_only,データ詳細,118
海上保安庁_海底の動きを測る_海底地殻変動観測,測地・地殻変動関連【海底地殻変動】,海上保安庁,海底の動きを測る 海底地殻変動観測,海底の動きを直接観測するためのGPS-音響測距結合方式による海底地殻変動観測の成果等をまとめています。,http://www1.kaiho.mlit.go.jp/KOHO/chikaku/kaitei/sgs/,,,,,,unknown,unknown,probe_only,データ詳細,119
国土地理院_重力データ,重力・地磁気関連,国土地理院,重力データ,国土地理院の重力測量の紹介や全国の重力データの公開などをしています,http://www.gsi.go.jp/buturisokuchi/gravity_index.html,,,,,,time_series,station,usable,データ詳細,120
産業技術総合研究所_重力データベース,重力・地磁気関連,産業技術総合研究所,重力データベース,産業技術総合研究所地質調査総合センターが調査・編集してきた重力データを検索・閲覧することができます。,https://gbank.gsj.jp/gravdb/,,,,,,static_spatial,station,static_only,データ詳細,121
国土地理院_地磁気測量,重力・地磁気関連,国土地理院,地磁気測量,国土地理院が実施している、地磁気測量の紹介や観測データ・磁気図などを公開しています。,http://www.gsi.go.jp/buturisokuchi/geomag_index.html,,,,,,time_series,station,usable,データ詳細,122
気象庁_地磁気観測所_観測データ,重力・地磁気関連,気象庁,地磁気観測所 観測データ,柿岡、女満別、鹿屋、父島で観測された地磁気等の観測データの表示やダウンロードが可能です。,http://www.kakioka-jma.go.jp/obsdata/data_plot.html,,,,,,time_series,station,requires_manual_download,データ詳細,123
海上保安庁_地磁気_重力,重力・地磁気関連,海上保安庁,地磁気・重力,測量船及び航空機により地磁気全磁力を測定し、地磁気異常分布から得られた地下の地磁気的構造や、地磁気異常図及び火山島内部の磁気的構造を掲載しています。また、船上で重力を測定し、重力の分布及び重力異常から得られた地下構造を掲載しています。,http://www1.kaiho.mlit.go.jp/KOHO/chijiki/chijiki.htm,,,,,,static_spatial,station,static_only,データ詳細,124
海洋研究開発機構_JAMSTEC航海_潜航データ_サンプル探索システム,重力・地磁気関連,海洋研究開発機構,JAMSTEC航海・潜航データ・サンプル探索システム,航海・潜航データ・サンプル探索システム（略称DARWIN）では海洋研究開発機構（JAMSTEC）の船舶・潜水船で得られたデータ、岩石サンプル、堆積物コアサンプルの情報を公開するとともに、関連するデータベースにリンクしています。重力、三成分磁力(STCM)のデータも閲覧できます。,http://www.godac.jamstec.go.jp/darwin/j,,,,,,time_series,station,usable,データ詳細,125
国土地理院_地図_空中写真閲覧サービス,地図・地形関連,国土地理院,地図・空中写真閲覧サービス,国土地理院がこれまで整備した地図・空中写真及び測量法第42条に定められた、公共測量により整備された地図の写しを検索し閲覧することができます。,http://mapps.gsi.go.jp/maplibSearch.do;jsessionid=0A908DA5B7D7A97796466895E83755F5#1,,,,,,static_spatial,mesh,static_only,データ詳細,126
国土地理院_基盤地図情報,地図・地形関連,国土地理院,基盤地図情報,電子地図上における地理空間情報の位置を定めるための基準となる位置情報です。全国の「基盤地図情報」をダウンロードすることができます。,http://www.gsi.go.jp/kiban/index.html,,,,,,static_spatial,point,static_only,データ詳細,127
国土地理院_数値地図_国土基本情報,地図・地形関連,国土地理院,数値地図「国土基本情報」,これまで国土地理院が整備してきた、基盤地図情報、数値地図シリーズ及び数値標高データをすべて統合し、さらに地図表現に必要な各種のデータ項目を加え、多様な属性情報も持たせた、総合的な地理空間情報を提供しています。,http://www.gsi.go.jp/kibanjoho/kibanjoho40027.html,,,,,,static_spatial,mesh,static_only,データ詳細,128
国土地理院_電子国土基本図_オルソ画像,地図・地形関連,国土地理院,電子国土基本図（オルソ画像）,空中写真を、位置ズレのない画像に変換し、様々な地理空間情報と重ね合わせができる「電子国土基本図（オルソ画像）」として公開しています。また、電子国土基本図（オルソ画像）以外の、様々な空中写真もあわせて公開しています。,https://maps.gsi.go.jp/#14/35.658098/139.741373/&base=std&ls=std%7C_ort&blend=0&disp=11&lcd=seamlessphoto&vs=c1j0l0u0t0z0r0f0&d=vl,,,,,,static_spatial,point,static_only,データ詳細,129
国土地理院_全国の標高データ,地図・地形関連,国土地理院,全国の標高データ,全国をカバーする10mメッシュ及びより精密な5mメッシュの2種類のデータが、基盤地図情報として無償で利用可能です。,https://fgd.gsi.go.jp/download/,,,,,,static_spatial,mesh,static_only,データ詳細,130
防災科学技術研究所_地すべり地形分布図デジタルアーカイブ,地図・地形関連,防災科学技術研究所,地すべり地形分布図デジタルアーカイブ,地すべり地形分布図および地すべり地形GISデータの提供をおこなっています。,http://dil-opac.bosai.go.jp/publication/nied_tech_note/landslidemap/index.html,,,,,,static_spatial,mesh,static_only,データ詳細,131
地震調査研究推進本部_地震動予測地図,防災関連,地震調査研究推進本部,地震動予測地図,「ある場所で一定期間内に、例えば震度６弱以上の揺れに見舞われる確率」、また、「特定の地震により、どのくらいの強い揺れに見舞われるか」を評価して地図に示しています。,https://www.jishin.go.jp/evaluation/seismic_hazard_map/shm_report/shm_report_2020/,,,,,,static_spatial,mesh,static_only,データ詳細,132
