date,external_source_group,external_feature_name,base_feature_name,feature_adjustment,value,missing_ratio,valid_count
2020-03-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.833375,0.0,1
2020-03-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.541625,0.0,1
2020-03-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.41675,0.0,1
2020-03-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.708375,0.0,1
2020-03-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45837500000000003,0.0,1
2020-03-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-03-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.083375,0.0,1
2020-03-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.375,0.0,1
2020-03-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.333375,0.0,1
2020-03-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.1666250000000002,0.0,1
2020-03-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.583375,0.0,1
2020-03-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.916625,0.0,1
2020-03-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.666625,0.0,1
2020-03-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.458125,0.0,1
2020-03-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.749875,0.0,1
2020-03-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-03-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.08325,0.0,1
2020-03-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.333375,0.0,1
2020-03-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.166625,0.0,1
2020-03-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.625,0.0,1
2020-03-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.24975,0.0,1
2020-03-31,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.791625,0.0,1
2020-04-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.33325,0.0,1
2020-04-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.583375,0.0,1
2020-04-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.75,0.0,1
2020-04-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-04-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-04-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45825,0.0,1
2020-04-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.58325,0.0,1
2020-04-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.625125,0.0,1
2020-04-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.000125,0.0,1
2020-04-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.95825,0.0,1
2020-04-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.625,0.0,1
2020-04-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.583375,0.0,1
2020-04-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.166625,0.0,1
2020-04-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.624875,0.0,1
2020-04-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.54175,0.0,1
2020-04-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.874875,0.0,1
2020-04-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.7915,0.0,1
2020-04-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.83325,0.0,1
2020-04-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.20825000000000002,0.0,1
2020-04-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.6248750000000003,0.0,1
2020-04-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.0,0.0,1
2020-04-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.666625,0.0,1
2020-04-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.70825,0.0,1
2020-04-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.583375,0.0,1
2020-04-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-04-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.541875,0.0,1
2020-04-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.54175,0.0,1
2020-04-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.166625,0.0,1
2020-04-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45825000000000005,0.0,1
2020-04-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.249875,0.0,1
2020-05-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.08325,0.0,1
2020-05-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.04175,0.0,1
2020-05-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.95825,0.0,1
2020-05-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.20825,0.0,1
2020-05-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.416625,0.0,1
2020-05-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.9998750000000001,0.0,1
2020-05-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708125,0.0,1
2020-05-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.666625,0.0,1
2020-05-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.249875,0.0,1
2020-05-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.7498750000000001,0.0,1
2020-05-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.95825,0.0,1
2020-05-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.70825,0.0,1
2020-05-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.70825,0.0,1
2020-05-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.333,0.0,1
2020-05-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.5415,0.0,1
2020-05-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.583375,0.0,1
2020-05-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.416625,0.0,1
2020-05-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-05-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.166625,0.0,1
2020-05-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.5,0.0,1
2020-05-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.208375,0.0,1
2020-05-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.41675,0.0,1
2020-05-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.75,0.0,1
2020-05-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-05-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.250125,0.0,1
2020-05-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-05-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708125,0.0,1
2020-05-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.5,0.0,1
2020-05-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.58325,0.0,1
2020-05-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.95825,0.0,1
2020-05-31,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.749875,0.0,1
2020-06-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.208375,0.0,1
2020-06-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.625,0.0,1
2020-06-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.58325,0.0,1
2020-06-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.875,0.0,1
2020-06-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.6665,0.0,1
2020-06-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.458125,0.0,1
2020-06-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.58325,0.0,1
2020-06-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.000125,0.0,1
2020-06-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.000125,0.0,1
2020-06-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.624875,0.0,1
2020-06-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.6248750000000001,0.0,1
2020-06-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.583375,0.0,1
2020-06-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.5,0.0,1
2020-06-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.375,0.0,1
