external_source_id,external_feature_name,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,train_period,test_period,status,error_message
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m4_flag,-6H,target_precedes_external,1826,correlation+ols+logistic_probe,0.018090477212002493,0.45098039215686275,0.5856888209829386,0.01580652453530409,0.01580652453530409,-0.0076858489065944925,0.4867316538284062,,,,,0.8728345947615372,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m4_flag,-1H,target_precedes_external,1826,correlation+ols+logistic_probe,0.018090477212002493,0.5490196078431373,0.6806028196402529,0.01580652453530409,0.01580652453530409,-0.0076858489065944925,0.4867316538284062,,,,,0.8728345947615372,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m4_flag,1H,external_precedes_target,1827,correlation+ols+logistic_probe,0.009665151120193761,0.8627450980392157,0.917813934084272,0.008514323690191254,0.008514323690191254,-0.015091695607505144,0.4818189693619233,,,,,0.9046635722049383,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m4_flag,6H,external_precedes_target,1827,correlation+ols+logistic_probe,0.009665151120193761,0.8235294117647058,0.8865747255840134,0.008514323690191254,0.008514323690191254,-0.015091695607505144,0.4818189693619233,,,,,0.9046635722049383,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m4_flag,12H,external_precedes_target,1827,correlation+ols+logistic_probe,0.009665151120193761,0.7450980392156863,0.8351036554098601,0.008514323690191254,0.008514323690191254,-0.015091695607505144,0.4818189693619233,,,,,0.9046635722049383,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m4_flag,1D,external_precedes_target,1826,correlation+ols+logistic_probe,0.00829525040861706,0.8235294117647058,0.8865747255840134,0.00731612696358112,0.00731612696358112,-0.017614624983142972,0.4800686479752379,,,,,0.8579557977104695,2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m4_flag,3D,external_precedes_target,1824,correlation+ols+logistic_probe,0.0023943667497790476,0.9607843137254902,0.9803921568627452,0.0021225406956403093,0.0021225406956403093,-0.023458425826656085,0.47608444001414835,,,,,0.8715403670425615,2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m4_flag,7D,external_precedes_target,1820,correlation+ols+logistic_probe,0.009275147134895717,0.8431372549019608,0.9022871931174373,0.00816523897218147,0.00816523897218147,-0.016174965763116056,0.48116143471726835,,,,,0.8803059929673178,2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,-7D,target_precedes_external,1820,correlation+ols+logistic_probe,0.029386880967360873,0.27450980392156865,0.3902982994145526,0.024768450019236964,0.024768450019236964,0.016605665466721875,0.5074141361468243,,,,,1.030893463996997,2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,m5_flag,-3D,target_precedes_external,1824,correlation+ols+logistic_probe,0.001271957974293895,1.0,1.0,0.001063710830166225,0.001063710830166225,0.006516504424061506,0.5015294940091922,,,,,0.8965907637704282,2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
