date,kp_dst_feature_name,base_feature_name,feature_adjustment,value
2020-04-05,kp_mean_daily,kp_mean_daily,raw,1.0
2020-04-06,kp_mean_daily,kp_mean_daily,raw,0.45825
2020-04-07,kp_mean_daily,kp_mean_daily,raw,0.58325
2020-04-08,kp_mean_daily,kp_mean_daily,raw,2.625125
2020-04-09,kp_mean_daily,kp_mean_daily,raw,1.000125
2020-04-10,kp_mean_daily,kp_mean_daily,raw,0.95825
2020-04-11,kp_mean_daily,kp_mean_daily,raw,1.625
2020-04-12,kp_mean_daily,kp_mean_daily,raw,1.583375
2020-04-13,kp_mean_daily,kp_mean_daily,raw,1.166625
2020-04-14,kp_mean_daily,kp_mean_daily,raw,1.624875
2020-04-15,kp_mean_daily,kp_mean_daily,raw,1.54175
2020-04-16,kp_mean_daily,kp_mean_daily,raw,0.874875
2020-04-17,kp_mean_daily,kp_mean_daily,raw,0.7915
2020-04-18,kp_mean_daily,kp_mean_daily,raw,0.83325
2020-04-19,kp_mean_daily,kp_mean_daily,raw,0.20825000000000002
2020-04-20,kp_mean_daily,kp_mean_daily,raw,2.6248750000000003
2020-04-21,kp_mean_daily,kp_mean_daily,raw,2.0
2020-04-22,kp_mean_daily,kp_mean_daily,raw,1.666625
2020-04-23,kp_mean_daily,kp_mean_daily,raw,0.70825
2020-04-24,kp_mean_daily,kp_mean_daily,raw,1.583375
2020-04-25,kp_mean_daily,kp_mean_daily,raw,1.0
2020-04-26,kp_mean_daily,kp_mean_daily,raw,1.541875
2020-04-27,kp_mean_daily,kp_mean_daily,raw,1.54175
2020-04-28,kp_mean_daily,kp_mean_daily,raw,1.166625
2020-04-29,kp_mean_daily,kp_mean_daily,raw,0.45825000000000005
2020-04-30,kp_mean_daily,kp_mean_daily,raw,0.249875
2020-05-01,kp_mean_daily,kp_mean_daily,raw,1.08325
2020-05-02,kp_mean_daily,kp_mean_daily,raw,1.04175
2020-05-03,kp_mean_daily,kp_mean_daily,raw,0.95825
2020-05-04,kp_mean_daily,kp_mean_daily,raw,1.20825
2020-05-05,kp_mean_daily,kp_mean_daily,raw,1.416625
2020-05-06,kp_mean_daily,kp_mean_daily,raw,0.9998750000000001
2020-05-07,kp_mean_daily,kp_mean_daily,raw,0.708125
2020-05-08,kp_mean_daily,kp_mean_daily,raw,0.666625
2020-05-09,kp_mean_daily,kp_mean_daily,raw,0.249875
2020-05-10,kp_mean_daily,kp_mean_daily,raw,0.7498750000000001
2020-05-11,kp_mean_daily,kp_mean_daily,raw,0.95825
2020-05-12,kp_mean_daily,kp_mean_daily,raw,0.70825
2020-05-13,kp_mean_daily,kp_mean_daily,raw,0.70825
2020-05-14,kp_mean_daily,kp_mean_daily,raw,0.333
2020-05-15,kp_mean_daily,kp_mean_daily,raw,0.5415
2020-05-16,kp_mean_daily,kp_mean_daily,raw,0.583375
2020-05-17,kp_mean_daily,kp_mean_daily,raw,0.416625
2020-05-18,kp_mean_daily,kp_mean_daily,raw,0.708375
2020-05-19,kp_mean_daily,kp_mean_daily,raw,1.166625
2020-05-20,kp_mean_daily,kp_mean_daily,raw,0.5
2020-05-21,kp_mean_daily,kp_mean_daily,raw,1.208375
2020-05-22,kp_mean_daily,kp_mean_daily,raw,1.41675
2020-05-23,kp_mean_daily,kp_mean_daily,raw,0.75
2020-05-24,kp_mean_daily,kp_mean_daily,raw,1.0
2020-05-25,kp_mean_daily,kp_mean_daily,raw,1.250125
2020-05-26,kp_mean_daily,kp_mean_daily,raw,0.708375
2020-05-27,kp_mean_daily,kp_mean_daily,raw,0.708125
2020-05-28,kp_mean_daily,kp_mean_daily,raw,0.5
2020-05-29,kp_mean_daily,kp_mean_daily,raw,0.58325
2020-05-30,kp_mean_daily,kp_mean_daily,raw,2.95825
2020-05-31,kp_mean_daily,kp_mean_daily,raw,0.749875
2020-06-01,kp_mean_daily,kp_mean_daily,raw,1.208375
2020-06-02,kp_mean_daily,kp_mean_daily,raw,1.625
2020-06-03,kp_mean_daily,kp_mean_daily,raw,0.58325
2020-06-04,kp_mean_daily,kp_mean_daily,raw,0.875
2020-06-05,kp_mean_daily,kp_mean_daily,raw,0.6665
2020-06-06,kp_mean_daily,kp_mean_daily,raw,0.458125
2020-06-07,kp_mean_daily,kp_mean_daily,raw,1.58325
2020-06-08,kp_mean_daily,kp_mean_daily,raw,1.000125
2020-06-09,kp_mean_daily,kp_mean_daily,raw,1.000125
2020-06-10,kp_mean_daily,kp_mean_daily,raw,1.624875
2020-06-11,kp_mean_daily,kp_mean_daily,raw,0.6248750000000001
2020-06-12,kp_mean_daily,kp_mean_daily,raw,0.583375
2020-06-13,kp_mean_daily,kp_mean_daily,raw,0.5
2020-06-14,kp_mean_daily,kp_mean_daily,raw,0.375
2020-06-15,kp_mean_daily,kp_mean_daily,raw,0.625
2020-06-16,kp_mean_daily,kp_mean_daily,raw,1.2501250000000002
2020-06-17,kp_mean_daily,kp_mean_daily,raw,0.833375
2020-06-18,kp_mean_daily,kp_mean_daily,raw,0.9167500000000001
2020-06-19,kp_mean_daily,kp_mean_daily,raw,0.9167500000000001
2020-06-20,kp_mean_daily,kp_mean_daily,raw,1.291625
2020-06-21,kp_mean_daily,kp_mean_daily,raw,0.7917500000000001
2020-06-22,kp_mean_daily,kp_mean_daily,raw,0.41650000000000004
2020-06-23,kp_mean_daily,kp_mean_daily,raw,0.70825
2020-06-24,kp_mean_daily,kp_mean_daily,raw,0.750125
2020-06-25,kp_mean_daily,kp_mean_daily,raw,0.541625
2020-06-26,kp_mean_daily,kp_mean_daily,raw,1.249875
2020-06-27,kp_mean_daily,kp_mean_daily,raw,1.5415
2020-06-28,kp_mean_daily,kp_mean_daily,raw,0.625
2020-06-29,kp_mean_daily,kp_mean_daily,raw,0.416625
2020-06-30,kp_mean_daily,kp_mean_daily,raw,0.958375
2020-07-01,kp_mean_daily,kp_mean_daily,raw,1.041625
2020-07-02,kp_mean_daily,kp_mean_daily,raw,0.708375
2020-07-03,kp_mean_daily,kp_mean_daily,raw,0.708375
2020-07-04,kp_mean_daily,kp_mean_daily,raw,1.624875
2020-07-05,kp_mean_daily,kp_mean_daily,raw,2.16675
2020-07-06,kp_mean_daily,kp_mean_daily,raw,1.0415
2020-07-07,kp_mean_daily,kp_mean_daily,raw,0.6248750000000001
2020-07-08,kp_mean_daily,kp_mean_daily,raw,0.333125
2020-07-09,kp_mean_daily,kp_mean_daily,raw,0.625
2020-07-10,kp_mean_daily,kp_mean_daily,raw,0.37475
2020-07-11,kp_mean_daily,kp_mean_daily,raw,0.45825000000000005
2020-07-12,kp_mean_daily,kp_mean_daily,raw,0.33325000000000005
2020-07-13,kp_mean_daily,kp_mean_daily,raw,1.458375
2020-07-14,kp_mean_daily,kp_mean_daily,raw,1.916625
2020-07-15,kp_mean_daily,kp_mean_daily,raw,1.041625
2020-07-16,kp_mean_daily,kp_mean_daily,raw,0.791625
2020-07-17,kp_mean_daily,kp_mean_daily,raw,0.874875
2020-07-18,kp_mean_daily,kp_mean_daily,raw,0.749875
